sport,event,year,athlete_id,country_id,medal
Track and Field,"Women's 10,000 metres",2016-01-01,20126,192,
Track and Field,"Men's 5,000 metres",2016-01-01,20133,195,Silver
Track and Field,Women's Marathon,2016-01-01,20135,15,
Track and Field,Women's Marathon,2016-01-01,20147,91,
Track and Field,"Women's 3,000 metres Steeplechase",2016-01-01,20149,192,
Track and Field,Men's 400 metres Hurdles,2016-01-01,20162,41,
Track and Field,Men's 20 kilometres Walk,2016-01-01,20182,40,
Swimming,Swimming Women's 200 metres Backstroke,2016-01-01,20214,40,
Swimming,Swimming Women's 100 metres Butterfly,2016-01-01,20299,40,
Track and Field,Women's Discus Throw,2016-01-01,20307,40,
Track and Field,Women's Marathon,2016-01-01,20322,41,
Swimming,Swimming Women's 50 metres Freestyle,2016-01-01,20352,83,
Swimming,Swimming Women's 100 metres Freestyle,2016-01-01,20352,83,
Swimming,Swimming Women's 200 metres Freestyle,2016-01-01,20352,83,
Swimming,Swimming Women's 4 x 100 metres Medley Relay,2016-01-01,20352,83,
Track and Field,"Women's 3,000 metres Steeplechase",2016-01-01,20413,97,
Track and Field,"Women's 1,500 metres",2016-01-01,20414,97,
Track and Field,"Men's 5,000 metres",2016-01-01,20418,192,
Track and Field,"Men's 10,000 metres",2016-01-01,20418,192,
Swimming,Swimming Women's 100 metres Butterfly,2016-01-01,20422,75,
Track and Field,"Men's 10,000 metres",2016-01-01,20502,15,
Track and Field,"Women's 5,000 metres",2016-01-01,20505,97,
Track and Field,"Women's 5,000 metres",2016-01-01,20525,97,Gold
Track and Field,"Women's 10,000 metres",2016-01-01,20525,97,Silver
Track and Field,"Men's 3,000 metres Steeplechase",2016-01-01,20526,15,
Track and Field,"Women's 5,000 metres",2016-01-01,20536,192,
Track and Field,Men's High Jump,2016-01-01,20537,92,
Swimming,Swimming Men's 100 metres Freestyle,2016-01-01,20556,116,
Track and Field,Men's Pole Vault,2016-01-01,20647,8,
Track and Field,Men's 400 metres,2016-01-01,20693,150,
Swimming,Swimming Men's 100 metres Freestyle,2016-01-01,20694,26,
Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,2016-01-01,20694,26,
Swimming,Swimming Men's 4 x 100 metres Medley Relay,2016-01-01,20694,26,
Track and Field,Women's 400 metres,2016-01-01,20706,92,
Track and Field,Women's 4 x 400 metres Relay,2016-01-01,20706,92,
Track and Field,Men's 50 kilometres Walk,2016-01-01,20717,144,
Swimming,Swimming Women's 100 metres Breaststroke,2016-01-01,20727,152,
Track and Field,Women's 400 metres Hurdles,2016-01-01,20742,73,
Track and Field,Women's 4 x 400 metres Relay,2016-01-01,20742,73,Bronze
Track and Field,Women's 200 metres,2016-01-01,20758,9,
Swimming,Swimming Women's 100 metres Butterfly,2016-01-01,20769,152,
Swimming,Swimming Women's 4 x 100 metres Medley Relay,2016-01-01,20769,152,
Track and Field,Men's Marathon,2016-01-01,20812,202,
Swimming,Swimming Women's 100 metres Breaststroke,2016-01-01,20844,121,
Track and Field,"Men's 5,000 metres",2016-01-01,20864,112,
Track and Field,Men's 20 kilometres Walk,2016-01-01,20945,57,
Track and Field,Men's 50 kilometres Walk,2016-01-01,20945,57,
Track and Field,Men's 20 kilometres Walk,2016-01-01,20956,171,
Swimming,Swimming Men's 200 metres Breaststroke,2016-01-01,21009,171,
Track and Field,Men's High Jump,2016-01-01,21122,51,
Swimming,Swimming Men's 200 metres Freestyle,2016-01-01,21289,136,
Swimming,Swimming Men's 400 metres Freestyle,2016-01-01,21289,136,
Swimming,"Swimming Men's 1,500 metres Freestyle",2016-01-01,21289,136,
Swimming,Swimming Men's 200 metres Breaststroke,2016-01-01,21439,152,Bronze
Swimming,Swimming Men's 4 x 100 metres Medley Relay,2016-01-01,21439,152,
Track and Field,Men's High Jump,2016-01-01,21460,18,
Gymnastics,Gymnastics Women's Horse Vault,2016-01-01,21462,198,
Gymnastics,Gymnastics Women's Balance Beam,2016-01-01,21462,198,
Track and Field,Women's 800 metres,2016-01-01,21527,146,
Track and Field,"Women's 1,500 metres",2016-01-01,21527,146,
Track and Field,Men's Hammer Throw,2016-01-01,21546,173,
Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,2016-01-01,21612,67,
Track and Field,Women's Marathon,2016-01-01,21676,151,
Track and Field,Women's Marathon,2016-01-01,21822,11,
Track and Field,Men's 4 x 100 metres Relay,2016-01-01,21844,154,
Track and Field,Women's 400 metres,2016-01-01,21869,34,
Track and Field,Women's 4 x 400 metres Relay,2016-01-01,21872,14,
Track and Field,Men's 110 metres Hurdles,2016-01-01,21873,73,
Swimming,Swimming Men's 100 metres Breaststroke,2016-01-01,21936,199,
Swimming,Swimming Men's 200 metres Breaststroke,2016-01-01,21936,199,
Track and Field,Women's 400 metres Hurdles,2016-01-01,21944,148,
Track and Field,Men's Triple Jump,2016-01-01,21954,195,Silver
Track and Field,Men's 400 metres Hurdles,2016-01-01,21990,195,Gold
Track and Field,Men's 4 x 400 metres Relay,2016-01-01,22002,195,Gold
Track and Field,Men's Marathon,2016-01-01,22069,90,
Swimming,Swimming Women's 200 metres Freestyle,2016-01-01,22121,73,
Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,2016-01-01,22121,73,
Swimming,Swimming Women's 4 x 100 metres Medley Relay,2016-01-01,22121,73,
Track and Field,"Women's 3,000 metres Steeplechase",2016-01-01,22143,195,Bronze
Swimming,Swimming Men's 400 metres Freestyle,2016-01-01,22166,34,
Swimming,"Swimming Men's 1,500 metres Freestyle",2016-01-01,22166,34,
Track and Field,Men's 50 kilometres Walk,2016-01-01,22170,151,
Swimming,Swimming Men's 100 metres Butterfly,2016-01-01,22196,92,
Swimming,Swimming Men's 4 x 100 metres Medley Relay,2016-01-01,22196,92,
Track and Field,Men's 4 x 100 metres Relay,2016-01-01,22203,130,
Swimming,Swimming Men's 200 metres Butterfly,2016-01-01,22219,67,
Track and Field,Men's Decathlon,2016-01-01,22227,170,
Track and Field,Men's 4 x 100 metres Relay,2016-01-01,22342,195,
Swimming,Swimming Women's 200 metres Freestyle,2016-01-01,22355,178,
Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,2016-01-01,22355,178,
Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,2016-01-01,22355,178,
Swimming,Swimming Women's 4 x 100 metres Medley Relay,2016-01-01,22355,178,
Track and Field,Men's 4 x 400 metres Relay,2016-01-01,22409,50,
Track and Field,Men's Triple Jump,2016-01-01,22431,14,
Track and Field,Men's 100 metres,2016-01-01,22468,154,
Track and Field,Men's 4 x 100 metres Relay,2016-01-01,22468,154,
Track and Field,Men's Marathon,2016-01-01,22539,42,
Track and Field,Women's Discus Throw,2016-01-01,22575,8,
Track and Field,Men's Triple Jump,2016-01-01,22604,67,
Swimming,Swimming Women's 4 x 100 metres Medley Relay,2016-01-01,22622,26,
Swimming,Swimming Men's 50 metres Freestyle,2016-01-01,22641,34,
Swimming,Swimming Men's 100 metres Freestyle,2016-01-01,22641,34,
Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,2016-01-01,22641,34,
Swimming,Swimming Men's 100 metres Butterfly,2016-01-01,22641,34,
Track and Field,"Women's 1,500 metres",2016-01-01,22649,42,
Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,2016-01-01,22662,195,Gold
Track and Field,Women's 100 metres,2016-01-01,22674,170,
Track and Field,Women's 200 metres,2016-01-01,22674,170,
Track and Field,"Women's 5,000 metres",2016-01-01,22675,195,
Track and Field,Women's Marathon,2016-01-01,22694,90,
Track and Field,Men's 110 metres Hurdles,2016-01-01,22810,173,
Swimming,Swimming Women's 400 metres Freestyle,2016-01-01,22865,11,
Swimming,Swimming Women's 800 metres Freestyle,2016-01-01,22865,11,
Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,2016-01-01,22865,11,Silver
Track and Field,Men's Marathon,2016-01-01,22901,34,
Track and Field,Men's Marathon,2016-01-01,22961,174,
Track and Field,Men's Javelin Throw,2016-01-01,22974,65,
Track and Field,Men's 400 metres Hurdles,2016-01-01,22978,189,Bronze
Swimming,Swimming Men's 100 metres Breaststroke,2016-01-01,23040,195,
Swimming,Swimming Men's 200 metres Breaststroke,2016-01-01,23040,195,
Swimming,Swimming Men's 4 x 100 metres Medley Relay,2016-01-01,23040,195,Gold
Gymnastics,Gymnastics Men's Horizontal Bar,2016-01-01,23050,8,
Track and Field,Women's 20 kilometres Walk,2016-01-01,23092,23,
Track and Field,Women's 20 kilometres Walk,2016-01-01,23140,23,
Gymnastics,Gymnastics Men's Parallel Bars,2016-01-01,23149,120,
Gymnastics,Gymnastics Men's Pommelled Horse,2016-01-01,23149,120,
Track and Field,Men's Triple Jump,2016-01-01,23160,67,
Track and Field,Women's Pole Vault,2016-01-01,23289,26,
Track and Field,Women's Long Jump,2016-01-01,23296,26,
Track and Field,Women's Triple Jump,2016-01-01,23296,26,
Swimming,Swimming Women's 200 metres Freestyle,2016-01-01,23303,173,
Swimming,Swimming Women's 400 metres Freestyle,2016-01-01,23303,173,
Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,2016-01-01,23303,173,
Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,2016-01-01,23303,173,
Track and Field,Women's Triple Jump,2016-01-01,23314,147,
Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,2016-01-01,23331,151,
Track and Field,Women's 400 metres,2016-01-01,23504,26,
Track and Field,Women's 4 x 400 metres Relay,2016-01-01,23504,26,
Track and Field,Men's 400 metres Hurdles,2016-01-01,23511,126,
Swimming,Swimming Women's 200 metres Individual Medley,2016-01-01,23519,11,
Swimming,Swimming Women's 100 metres Backstroke,2016-01-01,23549,203,
Swimming,Swimming Women's 200 metres Backstroke,2016-01-01,23549,203,
Track and Field,Men's 20 kilometres Walk,2016-01-01,23573,11,
Track and Field,Women's 4 x 400 metres Relay,2016-01-01,23579,14,
Track and Field,Women's Discus Throw,2016-01-01,23641,71,
Track and Field,Men's 400 metres Hurdles,2016-01-01,23731,145,
Swimming,Swimming Men's 100 metres Breaststroke,2016-01-01,23765,141,
Track and Field,Women's 100 metres,2016-01-01,23772,117,
Swimming,Swimming Women's 200 metres Individual Medley,2016-01-01,23792,162,
Swimming,Swimming Women's 400 metres Individual Medley,2016-01-01,23792,162,
Track and Field,Women's Shot Put,2016-01-01,23794,34,
Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,2016-01-01,23874,19,
Swimming,Swimming Men's 200 metres Butterfly,2016-01-01,23874,19,
Swimming,Swimming Men's 200 metres Breaststroke,2016-01-01,23972,170,
Track and Field,Men's Shot Put,2016-01-01,23974,195,Gold
Track and Field,Men's Javelin Throw,2016-01-01,23975,195,
Gymnastics,Gymnastics Men's Individual All-Around,2016-01-01,23984,122,
Gymnastics,Gymnastics Men's Floor Exercise,2016-01-01,23984,122,
Gymnastics,Gymnastics Men's Parallel Bars,2016-01-01,23984,122,
Gymnastics,Gymnastics Men's Horizontal Bar,2016-01-01,23984,122,
Gymnastics,Gymnastics Men's Rings,2016-01-01,23984,122,
Gymnastics,Gymnastics Men's Pommelled Horse,2016-01-01,23984,122,
Swimming,Swimming Men's 100 metres Butterfly,2016-01-01,24093,84,Silver
Swimming,Swimming Men's 200 metres Butterfly,2016-01-01,24093,84,
Track and Field,Men's Marathon,2016-01-01,24103,84,
Track and Field,Men's 400 metres,2016-01-01,24206,56,
Track and Field,Men's 4 x 400 metres Relay,2016-01-01,24206,56,
Track and Field,Men's Marathon,2016-01-01,24213,197,
Track and Field,Men's Marathon,2016-01-01,24214,197,
Track and Field,Men's 400 metres Hurdles,2016-01-01,24280,148,
Swimming,Swimming Women's 10 kilometres Open Water,2016-01-01,24317,26,
Track and Field,Men's Pole Vault,2016-01-01,24339,195,
Track and Field,Women's High Jump,2016-01-01,24344,195,
Track and Field,Men's Pole Vault,2016-01-01,24470,73,
Track and Field,Women's 20 kilometres Walk,2016-01-01,24523,166,
Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,2016-01-01,24551,146,
Swimming,Swimming Men's 100 metres Butterfly,2016-01-01,24551,146,
Swimming,Swimming Men's 4 x 100 metres Medley Relay,2016-01-01,24551,146,
Track and Field,Men's 110 metres Hurdles,2016-01-01,24579,146,
Track and Field,"Women's 5,000 metres",2016-01-01,24584,195,
Swimming,Swimming Men's 200 metres Freestyle,2016-01-01,24621,92,
Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,2016-01-01,24621,92,
Swimming,Swimming Women's 100 metres Backstroke,2016-01-01,24673,173,
Swimming,Swimming Women's 200 metres Backstroke,2016-01-01,24673,173,
Track and Field,Women's Marathon,2016-01-01,24680,26,
Track and Field,Men's 100 metres,2016-01-01,24705,79,
Track and Field,Men's Marathon,2016-01-01,24733,147,
Track and Field,Men's 200 metres,2016-01-01,24742,26,
Track and Field,Men's 200 metres,2016-01-01,24760,185,
Track and Field,Men's Discus Throw,2016-01-01,24784,93,
Track and Field,Women's Heptathlon,2016-01-01,24793,12,
Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,2016-01-01,24849,53,
Track and Field,Women's Hammer Throw,2016-01-01,24872,8,
Track and Field,Men's Shot Put,2016-01-01,24896,71,
Track and Field,Women's Marathon,2016-01-01,24899,3,
Gymnastics,Gymnastics Men's Team All-Around,2016-01-01,25040,195,
Gymnastics,Gymnastics Men's Floor Exercise,2016-01-01,25040,195,
Gymnastics,Gymnastics Men's Horse Vault,2016-01-01,25040,195,
Gymnastics,Gymnastics Men's Parallel Bars,2016-01-01,25040,195,
Gymnastics,Gymnastics Men's Horizontal Bar,2016-01-01,25040,195,
Gymnastics,Gymnastics Men's Rings,2016-01-01,25040,195,
Track and Field,Men's Marathon,2016-01-01,25075,123,
Track and Field,"Women's 3,000 metres Steeplechase",2016-01-01,25160,29,
Swimming,Swimming Men's 100 metres Freestyle,2016-01-01,25181,48,
Swimming,Swimming Women's 50 metres Freestyle,2016-01-01,25192,64,
Track and Field,Men's 100 metres,2016-01-01,25300,78,
Track and Field,Women's 400 metres,2016-01-01,25308,115,
Track and Field,Men's 400 metres Hurdles,2016-01-01,25394,43,
Swimming,Swimming Men's 4 x 100 metres Medley Relay,2016-01-01,25397,34,
Track and Field,Men's 100 metres,2016-01-01,25431,73,
Swimming,Swimming Women's 100 metres Freestyle,2016-01-01,25434,151,
Track and Field,Men's 200 metres,2016-01-01,25460,72,
Track and Field,Women's Marathon,2016-01-01,25509,67,
Gymnastics,Gymnastics Men's Team All-Around,2016-01-01,25520,71,
Gymnastics,Gymnastics Men's Parallel Bars,2016-01-01,25520,71,
Gymnastics,Gymnastics Men's Rings,2016-01-01,25520,71,
Gymnastics,Gymnastics Men's Pommelled Horse,2016-01-01,25520,71,
Track and Field,Women's 400 metres Hurdles,2016-01-01,25530,19,
Track and Field,Men's 800 metres,2016-01-01,25575,26,
Swimming,Swimming Women's 100 metres Backstroke,2016-01-01,25620,73,
Swimming,Swimming Women's 4 x 100 metres Medley Relay,2016-01-01,25620,73,
Track and Field,Women's Marathon,2016-01-01,25663,195,
Gymnastics,Gymnastics Men's Horse Vault,2016-01-01,25746,9,
Track and Field,Women's 400 metres,2016-01-01,25807,93,
Track and Field,Women's 4 x 400 metres Relay,2016-01-01,25807,93,Silver
Track and Field,Men's 800 metres,2016-01-01,25891,173,
Track and Field,Men's 200 metres,2016-01-01,25906,26,
Track and Field,Men's 4 x 100 metres Relay,2016-01-01,25906,26,
Track and Field,"Women's 10,000 metres",2016-01-01,26013,26,
Swimming,Swimming Men's 200 metres Backstroke,2016-01-01,26073,26,
Swimming,Swimming Men's 200 metres Butterfly,2016-01-01,26073,26,
Track and Field,Men's 100 metres,2016-01-01,26135,34,Bronze
Track and Field,Men's 200 metres,2016-01-01,26135,34,Silver
Track and Field,Men's 4 x 100 metres Relay,2016-01-01,26135,34,Bronze
Track and Field,Women's Marathon,2016-01-01,26254,144,
Track and Field,Women's 800 metres,2016-01-01,26367,26,
Track and Field,Women's 400 metres,2016-01-01,26369,26,
Track and Field,Women's 4 x 400 metres Relay,2016-01-01,26369,26,
Track and Field,Men's 50 kilometres Walk,2016-01-01,26396,92,
Swimming,Swimming Men's 200 metres Freestyle,2016-01-01,26399,26,
Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,2016-01-01,26399,26,
Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,2016-01-01,26399,26,
Swimming,Swimming Women's 4 x 100 metres Medley Relay,2016-01-01,26400,26,
Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,2016-01-01,26442,92,
Track and Field,Women's Discus Throw,2016-01-01,26473,26,
Track and Field,Men's 4 x 100 metres Relay,2016-01-01,26498,56,
Track and Field,Men's Pole Vault,2016-01-01,26499,26,
Track and Field,Men's 110 metres Hurdles,2016-01-01,26510,26,
Track and Field,Men's Javelin Throw,2016-01-01,26512,26,
Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,2016-01-01,26530,26,
Swimming,Swimming Women's 100 metres Butterfly,2016-01-01,26530,26,
Swimming,Swimming Women's 4 x 100 metres Medley Relay,2016-01-01,26530,26,
Track and Field,Women's 20 kilometres Walk,2016-01-01,26651,26,
Track and Field,Women's 4 x 400 metres Relay,2016-01-01,26690,26,
Track and Field,Women's 4 x 400 metres Relay,2016-01-01,26795,130,
Track and Field,Women's 4 x 400 metres Relay,2016-01-01,26796,130,
Swimming,Swimming Women's 4 x 100 metres Medley Relay,2016-01-01,26873,67,
Track and Field,Women's Marathon,2016-01-01,26969,130,
Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,2016-01-01,27048,71,
Swimming,Swimming Men's 100 metres Butterfly,2016-01-01,27048,71,
Swimming,Swimming Men's 4 x 100 metres Medley Relay,2016-01-01,27048,71,
Track and Field,Women's Marathon,2016-01-01,27062,19,
Swimming,Swimming Women's 50 metres Freestyle,2016-01-01,27081,130,
Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,2016-01-01,27081,130,
Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,2016-01-01,27093,19,
Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,2016-01-01,27093,19,
Track and Field,Men's 200 metres,2016-01-01,27104,56,
Track and Field,Men's 4 x 100 metres Relay,2016-01-01,27104,56,
Track and Field,Women's 4 x 100 metres Relay,2016-01-01,27131,179,
Track and Field,Men's Hammer Throw,2016-01-01,27136,120,
Track and Field,Women's Long Jump,2016-01-01,27380,195,
Track and Field,"Men's 10,000 metres",2016-01-01,27450,63,
Track and Field,Women's High Jump,2016-01-01,27488,29,Silver
Gymnastics,Gymnastics Men's Individual All-Around,2016-01-01,27572,40,
Gymnastics,Gymnastics Men's Team All-Around,2016-01-01,27572,40,Bronze
Gymnastics,Gymnastics Men's Floor Exercise,2016-01-01,27572,40,
Gymnastics,Gymnastics Men's Parallel Bars,2016-01-01,27572,40,
Gymnastics,Gymnastics Men's Horizontal Bar,2016-01-01,27572,40,
Gymnastics,Gymnastics Men's Rings,2016-01-01,27572,40,
Gymnastics,Gymnastics Men's Pommelled Horse,2016-01-01,27572,40,
Track and Field,Men's Discus Throw,2016-01-01,27643,11,
Track and Field,Women's Shot Put,2016-01-01,27699,189,
Gymnastics,Gymnastics Women's Team All-Around,2016-01-01,27714,19,
Gymnastics,Gymnastics Women's Uneven Bars,2016-01-01,27714,19,
Track and Field,Women's Triple Jump,2016-01-01,27720,92,
Track and Field,Women's Javelin Throw,2016-01-01,27753,193,
Gymnastics,Gymnastics Women's Individual All-Around,2016-01-01,27757,19,
Gymnastics,Gymnastics Women's Team All-Around,2016-01-01,27757,19,
Gymnastics,Gymnastics Women's Floor Exercise,2016-01-01,27757,19,
Gymnastics,Gymnastics Women's Uneven Bars,2016-01-01,27757,19,
Gymnastics,Gymnastics Women's Balance Beam,2016-01-01,27757,19,
Track and Field,Men's 200 metres,2016-01-01,27768,92,
Swimming,Swimming Men's 200 metres Individual Medley,2016-01-01,27842,179,
Swimming,Swimming Men's 400 metres Individual Medley,2016-01-01,27842,179,
Swimming,Swimming Men's 400 metres Freestyle,2016-01-01,27897,92,Bronze
Swimming,"Swimming Men's 1,500 metres Freestyle",2016-01-01,27897,92,Bronze
Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,2016-01-01,27897,92,
Gymnastics,Gymnastics Men's Individual All-Around,2016-01-01,27911,130,
Gymnastics,Gymnastics Men's Team All-Around,2016-01-01,27911,130,
Gymnastics,Gymnastics Men's Floor Exercise,2016-01-01,27911,130,
Gymnastics,Gymnastics Men's Parallel Bars,2016-01-01,27911,130,
Gymnastics,Gymnastics Men's Horizontal Bar,2016-01-01,27911,130,
Gymnastics,Gymnastics Men's Rings,2016-01-01,27911,130,
Gymnastics,Gymnastics Men's Pommelled Horse,2016-01-01,27911,130,
Gymnastics,Gymnastics Women's Individual All-Around,2016-01-01,28016,49,
Gymnastics,Gymnastics Women's Floor Exercise,2016-01-01,28016,49,
Gymnastics,Gymnastics Women's Balance Beam,2016-01-01,28016,49,
Track and Field,"Men's 3,000 metres Steeplechase",2016-01-01,28026,19,
Track and Field,Men's 4 x 400 metres Relay,2016-01-01,28039,86,
Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,2016-01-01,28077,92,
Swimming,Swimming Women's 50 metres Freestyle,2016-01-01,28101,92,
Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,2016-01-01,28101,92,
Track and Field,Men's Triple Jump,2016-01-01,28120,115,
Track and Field,Women's 800 metres,2016-01-01,28143,50,
Track and Field,Women's 400 metres,2016-01-01,28171,73,
Track and Field,Women's 4 x 400 metres Relay,2016-01-01,28171,73,Bronze
Track and Field,Women's Marathon,2016-01-01,28225,173,
Track and Field,Men's 50 kilometres Walk,2016-01-01,28266,173,
Track and Field,"Women's 1,500 metres",2016-01-01,28311,63,Silver
Track and Field,Women's Marathon,2016-01-01,28312,63,Bronze
Track and Field,"Women's 10,000 metres",2016-01-01,28313,63,Bronze
Gymnastics,Gymnastics Women's Individual All-Around,2016-01-01,28336,187,
Gymnastics,Gymnastics Women's Floor Exercise,2016-01-01,28336,187,
Gymnastics,Gymnastics Women's Uneven Bars,2016-01-01,28336,187,
Gymnastics,Gymnastics Women's Balance Beam,2016-01-01,28336,187,
Gymnastics,Gymnastics Women's Individual All-Around,2016-01-01,28371,18,
Gymnastics,Gymnastics Women's Floor Exercise,2016-01-01,28371,18,
Gymnastics,Gymnastics Women's Uneven Bars,2016-01-01,28371,18,
Gymnastics,Gymnastics Women's Balance Beam,2016-01-01,28371,18,
Swimming,Swimming Men's 200 metres Backstroke,2016-01-01,28430,71,
Track and Field,Men's Pole Vault,2016-01-01,28538,71,
Swimming,Swimming Men's 200 metres Butterfly,2016-01-01,28569,74,
Swimming,Swimming Men's 400 metres Freestyle,2016-01-01,28574,74,
Track and Field,Men's Triple Jump,2016-01-01,28600,29,
Swimming,Swimming Men's 50 metres Freestyle,2016-01-01,28667,139,
Track and Field,Men's 50 kilometres Walk,2016-01-01,28676,67,
Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,2016-01-01,28734,195,Gold
Swimming,Swimming Women's 200 metres Backstroke,2016-01-01,28734,195,Gold
Swimming,Swimming Women's 200 metres Individual Medley,2016-01-01,28734,195,Bronze
Swimming,Swimming Women's 400 metres Individual Medley,2016-01-01,28734,195,Silver
Track and Field,"Women's 3,000 metres Steeplechase",2016-01-01,28744,63,
Track and Field,Women's 4 x 100 metres Relay,2016-01-01,28762,67,
Track and Field,Men's Decathlon,2016-01-01,28763,12,
Track and Field,Women's Marathon,2016-01-01,28814,73,
Track and Field,Men's 20 kilometres Walk,2016-01-01,28917,193,
Swimming,"Swimming Men's 1,500 metres Freestyle",2016-01-01,28924,67,
Swimming,Swimming Men's 10 kilometres Open Water,2016-01-01,28937,26,
Track and Field,Men's 400 metres Hurdles,2016-01-01,28958,146,
Track and Field,Men's 200 metres,2016-01-01,29069,157,
Track and Field,Men's 50 kilometres Walk,2016-01-01,29113,71,
Track and Field,Women's Marathon,2016-01-01,29222,18,
Track and Field,Men's Hammer Throw,2016-01-01,29254,26,
Track and Field,Men's Triple Jump,2016-01-01,29336,92,
Track and Field,Men's Triple Jump,2016-01-01,29366,40,Bronze
Track and Field,Men's Marathon,2016-01-01,29372,40,
Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,2016-01-01,29374,40,
Track and Field,Women's Shot Put,2016-01-01,29383,33,
Track and Field,Men's Marathon,2016-01-01,29457,108,
Track and Field,Men's Triple Jump,2016-01-01,29497,80,
Swimming,Swimming Men's 50 metres Freestyle,2016-01-01,29555,81,
Track and Field,Men's Marathon,2016-01-01,29590,26,
Track and Field,Women's Marathon,2016-01-01,29591,26,
Track and Field,Men's 4 x 400 metres Relay,2016-01-01,29595,26,
Track and Field,Men's 100 metres,2016-01-01,29604,26,
Track and Field,Men's 4 x 100 metres Relay,2016-01-01,29604,26,
Track and Field,Men's 50 kilometres Walk,2016-01-01,29610,26,
Swimming,Swimming Men's 50 metres Freestyle,2016-01-01,29644,92,
Swimming,Swimming Men's 100 metres Freestyle,2016-01-01,29644,92,
Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,2016-01-01,29644,92,
Swimming,Swimming Men's 4 x 100 metres Medley Relay,2016-01-01,29644,92,
Swimming,Swimming Women's 400 metres Freestyle,2016-01-01,29668,103,
Gymnastics,Gymnastics Women's Individual All-Around,2016-01-01,29686,195,
Gymnastics,Gymnastics Women's Team All-Around,2016-01-01,29686,195,Gold
Gymnastics,Gymnastics Women's Floor Exercise,2016-01-01,29686,195,
Gymnastics,Gymnastics Women's Uneven Bars,2016-01-01,29686,195,
Gymnastics,Gymnastics Women's Balance Beam,2016-01-01,29686,195,
Track and Field,Men's 110 metres Hurdles,2016-01-01,29737,74,
Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,2016-01-01,29754,152,
Swimming,Swimming Women's 50 metres Freestyle,2016-01-01,29775,146,
Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,2016-01-01,29775,146,
Gymnastics,Gymnastics Women's Team All-Around,2016-01-01,29788,73,
Gymnastics,Gymnastics Women's Uneven Bars,2016-01-01,29788,73,
Gymnastics,Gymnastics Women's Balance Beam,2016-01-01,29788,73,
Gymnastics,Gymnastics Women's Individual All-Around,2016-01-01,29789,73,
Gymnastics,Gymnastics Women's Team All-Around,2016-01-01,29789,73,
Gymnastics,Gymnastics Women's Floor Exercise,2016-01-01,29789,73,
Gymnastics,Gymnastics Women's Horse Vault,2016-01-01,29789,73,
Gymnastics,Gymnastics Women's Uneven Bars,2016-01-01,29789,73,
Gymnastics,Gymnastics Women's Balance Beam,2016-01-01,29789,73,
Swimming,Swimming Women's 100 metres Breaststroke,2016-01-01,29813,90,
Swimming,Swimming Women's 200 metres Breaststroke,2016-01-01,29813,90,
Track and Field,Men's Triple Jump,2016-01-01,29858,119,
Gymnastics,Gymnastics Men's Floor Exercise,2016-01-01,29890,151,
Gymnastics,Gymnastics Men's Horse Vault,2016-01-01,29890,151,
Gymnastics,Gymnastics Men's Horizontal Bar,2016-01-01,29890,151,
Track and Field,Women's 20 kilometres Walk,2016-01-01,29898,52,
Swimming,Swimming Women's 50 metres Freestyle,2016-01-01,29914,74,
Track and Field,Women's Marathon,2016-01-01,29933,53,
Swimming,Swimming Men's 10 kilometres Open Water,2016-01-01,29939,152,
Track and Field,Women's Marathon,2016-01-01,29948,108,
Swimming,Swimming Men's 200 metres Freestyle,2016-01-01,29962,130,
Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,2016-01-01,29962,130,
Swimming,Swimming Men's 100 metres Freestyle,2016-01-01,29989,195,
Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,2016-01-01,29989,195,Gold
Swimming,Swimming Men's 4 x 100 metres Medley Relay,2016-01-01,29989,195,Gold
