sport,event,year,athlete_id,country_id,medal
Track and Field,Women's Marathon,2016-01-01,2135,140,
Track and Field,"Men's 3,000 metres Steeplechase",2016-01-01,2169,125,
Track and Field,"Men's 1,500 metres",2016-01-01,2197,194,
Track and Field,"Women's 3,000 metres Steeplechase",2016-01-01,2236,125,
Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,2016-01-01,2314,173,
Track and Field,Women's 200 metres,2016-01-01,2408,119,
Track and Field,Men's 400 metres Hurdles,2016-01-01,2467,148,
Track and Field,Women's 800 metres,2016-01-01,2537,63,
Track and Field,Women's 400 metres,2016-01-01,2574,156,
Track and Field,Women's Long Jump,2016-01-01,2604,74,
Track and Field,Men's 200 metres,2016-01-01,2663,175,
Track and Field,Men's 110 metres Hurdles,2016-01-01,2683,111,
Track and Field,Men's 400 metres,2016-01-01,2688,138,
Track and Field,Women's 100 metres Hurdles,2016-01-01,2695,195,Silver
Track and Field,"Women's 5,000 metres",2016-01-01,2719,38,
Track and Field,Men's Shot Put,2016-01-01,2726,24,
Track and Field,Men's 110 metres Hurdles,2016-01-01,2775,170,
Swimming,Swimming Women's 100 metres Freestyle,2016-01-01,2779,145,
Swimming,Swimming Women's 100 metres Freestyle,2016-01-01,2784,13,
Track and Field,Men's 110 metres Hurdles,2016-01-01,2838,195,
Track and Field,Men's 4 x 400 metres Relay,2016-01-01,2861,93,Silver
Swimming,Swimming Men's 200 metres Breaststroke,2016-01-01,2900,62,
Track and Field,Men's Marathon,2016-01-01,2943,57,
Track and Field,Women's 800 metres,2016-01-01,2952,50,
Swimming,"Swimming Men's 1,500 metres Freestyle",2016-01-01,2969,26,
Swimming,Swimming Men's 400 metres Individual Medley,2016-01-01,2969,26,
Swimming,Swimming Men's 200 metres Butterfly,2016-01-01,2976,26,
Swimming,Swimming Women's 50 metres Freestyle,2016-01-01,3070,178,
Gymnastics,Gymnastics Women's Team All-Around,2016-01-01,3081,71,
Gymnastics,Gymnastics Women's Uneven Bars,2016-01-01,3081,71,
Gymnastics,Gymnastics Women's Balance Beam,2016-01-01,3081,71,
Track and Field,Men's Triple Jump,2016-01-01,3139,120,
Track and Field,Men's Long Jump,2016-01-01,3221,26,
Gymnastics,Gymnastics Women's Individual All-Around,2016-01-01,3267,141,
Gymnastics,Gymnastics Women's Floor Exercise,2016-01-01,3267,141,
Gymnastics,Gymnastics Women's Uneven Bars,2016-01-01,3267,141,
Gymnastics,Gymnastics Women's Balance Beam,2016-01-01,3267,141,
Track and Field,Men's 800 metres,2016-01-01,3280,63,
Track and Field,Men's 800 metres,2016-01-01,3284,72,
Track and Field,"Men's 3,000 metres Steeplechase",2016-01-01,3310,63,
Track and Field,Men's High Jump,2016-01-01,3316,113,
Track and Field,Women's High Jump,2016-01-01,3326,134,
Track and Field,Men's Javelin Throw,2016-01-01,3340,178,
Swimming,Swimming Men's 50 metres Freestyle,2016-01-01,3352,68,
Track and Field,Women's 4 x 400 metres Relay,2016-01-01,3411,14,
Track and Field,Men's 800 metres,2016-01-01,3512,25,
Track and Field,"Men's 1,500 metres",2016-01-01,3515,150,
Track and Field,Men's Javelin Throw,2016-01-01,3527,72,
Track and Field,Women's 200 metres,2016-01-01,3528,72,
Track and Field,Women's 4 x 100 metres Relay,2016-01-01,3528,72,
Track and Field,Women's 100 metres Hurdles,2016-01-01,3560,134,
Swimming,Swimming Women's 100 metres Butterfly,2016-01-01,3596,171,
Swimming,Swimming Women's 200 metres Butterfly,2016-01-01,3596,171,
Track and Field,Women's Marathon,2016-01-01,3600,171,
Track and Field,Women's 400 metres Hurdles,2016-01-01,3616,67,
Track and Field,Women's 4 x 400 metres Relay,2016-01-01,3616,67,
Track and Field,Women's Discus Throw,2016-01-01,3620,74,
Track and Field,Men's Hammer Throw,2016-01-01,3640,74,
Swimming,Swimming Women's 10 kilometres Open Water,2016-01-01,3820,195,
Track and Field,Men's 400 metres Hurdles,2016-01-01,4041,35,
Gymnastics,Gymnastics Women's Individual All-Around,2016-01-01,4048,26,
Gymnastics,Gymnastics Women's Team All-Around,2016-01-01,4048,26,
